id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
6623,Venice Blue on Canal apartment,15016,Francesca,Isole,San Polo,45.43817,12.32739,Entire home/apt,225,3,163,2019-06-26,1.50,3,352,1,
6624,Venice garden charme and canal view!,15016,Francesca,Isole,Santa Croce,45.43977,12.32736,Entire home/apt,149,4,65,2016-07-17,0.66,3,340,1,
12074,Venice home to relax and emotions,15016,Francesca,Isole,San Polo,45.43896,12.3297,Entire home/apt,122,4,186,2021-10-20,1.51,3,347,2,
27116,Junior Suite with balcony overlooking canal,116144,Giò&Giò,Isole,San Marco,45.43277,12.33456,Private room,150,1,412,2021-10-16,3.26,2,213,2,
44527,Historical Luxury Apartment on Calm Sunny Canal,120215,Marc & Elisabeth,Isole,Cannaregio,45.44569,12.32902,Entire home/apt,280,2,82,2021-11-30,1.41,1,298,10,
47383,Ca' Barba B&B: room n102 (jacuzzi shower),214390,Alessandro,Isole,San Polo,45.43921,12.3331,Hotel room,62,2,291,2021-07-11,2.30,4,345,17,
47549,Ca' Barba Apartment,215652,Caterina E Alessandro,Isole,Dorsoduro,45.43593,12.32521,Entire home/apt,136,2,145,2020-01-18,1.18,2,0,0,
49656,Ca' Foscari Apartment,226598,Andrea,Isole,Dorsoduro,45.43549,12.32612,Entire home/apt,90,3,85,2021-09-02,0.97,2,356,11,
56687,Waterfront Charm in Central Venice,268967,Renato,Isole,Cannaregio,45.44374,12.32949,Entire home/apt,150,3,47,2018-12-30,0.49,1,86,0,
60007,Apartament alla Fenice a Venezia,288678,Furio,Isole,San Marco,45.43502,12.33372,Entire home/apt,89,1,159,2020-09-30,1.29,1,142,0,
60020,Bed and Breakfast Venice.it,288785,Nicola,Isole,Cannaregio,45.44229,12.3304,Hotel room,40,2,47,2019-09-01,0.69,2,272,3,
60304,B&B  Venice Casa Baseggio,290452,Marco,Isole,Cannaregio,45.44453,12.333,Private room,101,1,152,2021-09-12,1.35,2,178,4,
61714,B&B AL CANAL VENICE canal view,289023,Francesca,Isole,Giudecca,45.42708,12.31823,Private room,68,2,306,2021-11-21,2.33,2,262,26,
63267,Appartamento con splendida vista sulla Laguna,308732,Cristina,Isole,Castello,45.43886,12.3499,Entire home/apt,90,3,11,2019-05-26,0.29,1,338,0,
69375,Armonia Apartment  Venice's flavour,347332,Guido,Isole,Cannaregio,45.44512,12.31954,Entire home/apt,130,3,24,2018-09-20,0.23,3,362,0,
71735,a stone's throw to St.Markwith WiFi,368293,Grazia,Isole,San Marco,45.43367,12.33639,Entire home/apt,60,3,113,2019-03-16,1.06,3,322,16,
71870,Biennale - Great & cosy flat,369617,Irene,Isole,Castello,45.42978,12.35715,Entire home/apt,90,3,209,2019-09-04,1.67,5,205,0,
71874,rooms in Venice,369642,Valter,Isole,Santa Croce,45.44216,12.32644,Private room,100,1,53,2016-07-04,0.49,2,361,1,
72740,Eco Venice 1,377929,Attilio,Terraferma,Favaro,45.50793,12.28336,Entire home/apt,66,2,318,2020-01-17,3.22,5,11,5,H0270420187
72821,Venice (with Option to Sail Away!),376806,Orlando,Isole,Sacca Fisola,45.42811,12.31702,Private room,120,1,43,2019-06-29,0.54,1,305,0,
74042,Low Cost Romantic Venice,9609304,Luca,Isole,Castello,45.43369,12.35051,Entire home/apt,109,3,519,2019-03-30,4.21,3,32,0,
74272,Ca' Annalaura 2 with private court,390175,Monica,Isole,Castello,45.43331,12.35038,Entire home/apt,53,3,263,2021-10-19,2.36,2,317,18,
74873,Al Campanile Madonna Dell'Orto: Apt BEIGE,394892,Hossep,Isole,Cannaregio,45.44637,12.33308,Entire home/apt,176,3,16,2017-11-26,0.35,2,347,0,
75376,Saint Mark apartment  in  Venice,399883,Monica,Isole,San Marco,45.43517,12.33554,Entire home/apt,126,2,138,2021-07-29,1.23,5,267,8,M0270422885
75760,at Biennale Giardini - Cà Zaleta,402656,Anna,Isole,Castello,45.43079,12.35641,Entire home/apt,175,5,218,2019-08-18,2.00,1,341,1,IP0270421094
75994,San Bortolomio Apartment - WI FI,399883,Monica,Isole,San Marco,45.43746,12.337,Entire home/apt,138,2,108,2019-06-17,1.34,5,299,3,M0270422884
77188,Ca' Annalaura 1 with private court,390175,Monica,Isole,Castello,45.43294,12.34882,Entire home/apt,47,3,289,2020-07-12,2.47,2,216,22,
77598,Ca' Gioiosa,416351,Italo,Isole,Dorsoduro,45.43088,12.3199,Entire home/apt,119,2,79,2018-05-31,0.69,2,14,0,
78833,Al Campanile: Loft ROSSO,394892,Hossep,Isole,Cannaregio,45.44631,12.33317,Entire home/apt,124,3,20,2018-02-12,0.22,2,344,0,
80403,Elegant apartment with privatgarden,434492,Lucia,Isole,Dorsoduro,45.4342,12.31943,Entire home/apt,115,3,39,2019-06-30,0.60,1,205,0,
83610,VENICE NOW : be one of the HAPPY FEWS,434231,Magda,Isole,Castello,45.43442,12.34854,Entire home/apt,120,3,6,2017-07-25,0.05,1,350,1,
90053,Cozy flat in Venice (Lido),485439,Elisabetta,Isole,Lido,45.40714,12.36715,Entire home/apt,130,6,6,2011-06-06,1.62,2,354,1,
92159,B&B. AL CANAL VENICE  green room garden view,289023,Francesca,Isole,Giudecca,45.42703,12.31827,Private room,59,2,290,2021-08-31,2.31,2,264,25,
95980,Roberta's 1BR-Apt- steps from St. Mark's Square,510349,Roberta,Isole,San Marco,45.43316,12.3353,Entire home/apt,90,2,213,2021-10-17,1.67,3,350,26,
99238,Ca' Risorta  ♡ Your romantic retreat,419326,Federica,Isole,Cannaregio,45.44478,12.32861,Entire home/apt,108,2,80,2019-10-29,1.26,1,28,0,M0270422495
100620,Comfortable flat in authenticVenice,520357,Massimo,Isole,Castello,45.43049,12.35787,Entire home/apt,80,3,35,2016-07-01,0.29,1,365,0,
108271,SHORT HOLIDAYS  IN VENICE FREE WIFI,560277,Vera,Terraferma,Marghera,45.4732,12.22502,Private room,36,2,326,2019-10-12,2.80,1,339,0,
129278,Villa with terrace in Venice Lido,485439,Elisabetta,Isole,Lido,45.40782,12.36728,Entire home/apt,300,13,8,2017-10-30,0.07,2,363,1,
130605,Sweet dreams,642936,Maria,Isole,Santa Croce,45.439987,12.322111,Private room,85,2,268,2021-10-29,2.39,2,357,16,
131244,Giardino dei Melograni  Economy Room,630328,Kosher House,Isole,Cannaregio,45.44654,12.32819,Hotel room,105,1,37,2021-08-15,0.37,23,322,10,
131822,Giardino dei Melograni triple room,630328,Kosher House,Isole,Cannaregio,45.44472,12.32682,Hotel room,155,1,7,2013-07-21,0.08,23,324,0,
131895,Giardino dei Melograni DUS,630328,Kosher House,Isole,Cannaregio,45.44456,12.32779,Hotel room,105,1,8,2015-08-13,0.07,23,320,0,
131939,Giardino dei Melograni family room,630328,Kosher House,Isole,Cannaregio,45.44478,12.3282,Hotel room,215,1,2,2016-10-23,0.02,23,321,0,
134035,HAPPY AND LUMINOUS FLAT IN VENICE WITH TERRACE,653451,Sara,Isole,Castello,45.43437,12.34641,Entire home/apt,111,2,72,2021-11-02,0.58,1,290,6,
137087,"Charming & Bohémienne, a cozy stay in San Marco",264845,Ilaria,Isole,Castello,45.43704,12.3469,Entire home/apt,109,2,90,2021-09-12,0.80,1,280,4,
137304,"""BOUDOIR"" IN10 MINUTES FROM VENICE",671512,Zoia,Terraferma,Piave 1860,45.48706,12.24687,Private room,59,1,118,2017-10-29,1.03,1,352,1,
139786,Ca' Grassi 2 Charme Apartment,669047,Views On Venice,Isole,San Marco,45.4349,12.32989,Entire home/apt,245,3,23,2019-10-12,0.19,82,358,0,M02704210830
139802,Ca' Grassi 1 Apartment for 4/5 Guests,669047,Views On Venice,Isole,San Marco,45.43524,12.32987,Entire home/apt,279,3,43,2019-10-21,0.40,82,340,1,M02704210829
140197,Nido D'Amore- Zona: Rialto,683035,Paola,Isole,Cannaregio,45.43976,12.336,Entire home/apt,86,1,719,2021-10-19,5.77,1,323,61,CODICE IDENTIFICATIVO: M0270421099
